target,category,value
example.com,subdomain,filebeat.example.com
example.com,subdomain,189349.example.com
example.com,subdomain,coolseo.example.com
example.com,subdomain,x.example.com
example.com,subdomain,a7498460864.example.com
example.com,subdomain,shurius.example.com
example.com,subdomain,sub195.example.com
example.com,subdomain,thehottech787.example.com
example.com,subdomain,dev1.umaxk.example.com
example.com,subdomain,edemin2.example.com
example.com,subdomain,lex777lex20141.example.com
example.com,subdomain,nimasoft1234.example.com
example.com,subdomain,roberto53.example.com
example.com,subdomain,basiccert.example.com
example.com,subdomain,huangyanmei5.example.com
example.com,subdomain,ivan4.example.com
example.com,subdomain,mgkunoff.example.com
example.com,subdomain,thehottech1335.example.com
example.com,subdomain,147-255-227-65.w.example.com
example.com,subdomain,a024446.example.com
example.com,subdomain,bitrush.example.com
example.com,subdomain,daniilmornov.example.com
example.com,subdomain,pav.free.example.com
example.com,subdomain,info25.example.com
example.com,subdomain,nikiryazanow1.example.com
example.com,subdomain,sale.example.com
example.com,subdomain,support9.example.com
example.com,subdomain,cdn.example.com
example.com,subdomain,ubeo2.example.com
example.com,subdomain,daniscutaru6.example.com
example.com,subdomain,uralspasltd.example.com
example.com,subdomain,visumbra.example.com
example.com,subdomain,147-255-227-93.w.example.com
example.com,subdomain,bc12358.example.com
example.com,subdomain,ecommercehost.example.com
example.com,subdomain,petukhroman.example.com
example.com,subdomain,progr76.example.com
example.com,subdomain,shushpanchik.example.com
example.com,subdomain,147-255-227-6.w.example.com
example.com,subdomain,azen2048181.example.com
example.com,subdomain,da32.example.com
example.com,subdomain,pyzirev1.dmitriy.example.com
example.com,subdomain,joy.example.com
example.com,subdomain,lightsail201927.example.com
example.com,subdomain,vlo3315.example.com
example.com,subdomain,147-255-227-163.w.example.com
example.com,subdomain,grpc-demo.example.com
example.com,subdomain,kvlnkxbusiness1.example.com
example.com,subdomain,lavrikko11.example.com
example.com,subdomain,meiprothyne.example.com
example.com,subdomain,rs2.example.com
example.com,subdomain,tirant19901.example.com
example.com,subdomain,contact15.example.com
example.com,subdomain,dromanuk.example.com
example.com,subdomain,itrpopov4.example.com
example.com,subdomain,oooecoexpert.example.com
example.com,subdomain,ostanteam2.example.com
example.com,subdomain,support304.example.com
example.com,subdomain,ec2amaz-0clp283.example.com
example.com,subdomain,isointproxy.example.com
example.com,subdomain,hijacked-ip-address-192-83-197-64.example.com
example.com,subdomain,hijacked-ip-address-192-83-197-96.example.com
example.com,subdomain,hitn89.example.com
example.com,subdomain,operation15.example.com
